nume,judet,abreviere,populatie,lat,lng,,
Buftea,Ilfov,IF,19202,44.5629744,25.9388214,Buftea,Buftea
Buciumeni,Ilfov,IF,2976,44.5460939,25.9574846,Buciumeni,Buciumeni
Otopeni,Ilfov,IF,12540,44.5671874,26.0835113,Otopeni,Otopeni
Odaile,Ilfov,IF,1321,44.5435944,26.0487028,Odaile,Odaile
1decembrie,Ilfov,IF,7817,44.2862871,26.0540403,1Decembrie,1Decembrie
Copaceni,Ilfov,IF,3131,44.2705494,26.0832726,Copaceni,Copaceni
Afumati,Ilfov,IF,7919,44.5189626,26.2396449,Afumati,Afumati
Balotesti,Ilfov,IF,6286,44.6224456,26.1102518,Balotesti,Balotesti
Dumbraveni,Ilfov,IF,519,44.6359645,26.1156689,Dumbraveni,Dumbraveni
Saftica,Ilfov,IF,1509,44.6277353,26.0684344,Saftica,Saftica
Berceni,Ilfov,IF,5942,44.3122991,26.1883996,Berceni,Berceni
Bragadiru,Ilfov,IF,15329,44.3815998,25.9956853,Bragadiru,Bragadiru
Branesti,Ilfov,IF,7305,44.45,26.333333,Branesti,Branesti
Islaz,Ilfov,IF,1609,44.461218,26.3883149,Islaz,Islaz
Pasarea,Ilfov,IF,1325,44.471466,26.3220198,Pasarea,Pasarea
Vaduanei,Ilfov,IF,128,44.4228074,26.3541407,Vaduanei,VaduAnei
Cernica,Ilfov,IF,3136,44.4189725,26.2799064,Cernica,Cernica
Balaceanca,Ilfov,IF,2865,44.3908015,26.2892126,Balaceanca,Balaceanca
Caldararu,Ilfov,IF,1176,44.4141479,26.259505,Caldararu,Caldararu
Posta,Ilfov,IF,599,44.3775772,26.3103375,Posta,Posta
Tanganu,Ilfov,IF,3110,44.4029353,26.3148947,Tanganu,Tanganu
Chiajna,Ilfov,IF,4511,44.4584095,25.9733521,Chiajna,Chiajna
Dudu,Ilfov,IF,1728,44.4553447,25.9859332,Dudu,Dudu
Rosu,Ilfov,IF,8020,44.4467658,26.0009209,Rosu,Rosu
Chitila,Ilfov,IF,12768,44.509892,25.9845856,Chitila,Chitila
Rudeni,Ilfov,IF,1416,44.4749519,25.9661158,Rudeni,Rudeni
Ciolpani,Ilfov,IF,2828,44.72724,26.10957,Ciolpani,Ciolpani
Izvorani,Ilfov,IF,641,44.6953456,26.1209458,Izvorani,Izvorani
Luparia,Ilfov,IF,552,44.7418641,26.1233622,Luparia,Luparia
Piscu,Ilfov,IF,790,44.7357845,26.0722308,Piscu,Piscu
Ciorogarla,Ilfov,IF,3919,44.4311114,25.8729598,Ciorogarla,Ciorogarla
Darvari,Ilfov,IF,2269,44.4214748,25.8771951,Darvari,Darvari
Clinceni,Ilfov,IF,4708,44.366667,25.95,Clinceni,Clinceni
Olteni,Ilfov,IF,1881,44.3975045,25.9606769,Olteni,Olteni
Ordoreanu,Ilfov,IF,219,44.3638462,25.8968922,Ordoreanu,Ordoreanu
Corbeanca,Ilfov,IF,2475,44.6,26.05,Corbeanca,Corbeanca
Ostratu,Ilfov,IF,1623,44.6053486,26.0133024,Ostratu,Ostratu
Petresti,Ilfov,IF,943,44.6018428,26.0656046,Petresti,Petresti
Tamasi,Ilfov,IF,2031,44.5844623,26.0026884,Tamasi,Tamasi
Cornetu,Ilfov,IF,6040,44.35,25.95,Cornetu,Cornetu
Buda,Ilfov,IF,284,44.3318741,25.950137,Buda,Buda
Dascalu,Ilfov,IF,2359,44.6012674,26.2266731,Dascalu,Dascalu
Creata,Ilfov,IF,191,44.5985022,26.2730186,Creata,Creata
Gagu,Ilfov,IF,567,44.6146885,26.2575742,Gagu,Gagu
Runcu,Ilfov,IF,37,44.5848176,26.2055679,Runcu,Runcu
Darastiilfov,Ilfov,IF,3026,44.3088894,26.0217985,Darastiilfov,DarastiIlfov
Dobroesti,Ilfov,IF,5274,44.4552302,26.1827514,Dobroesti,Dobroesti
Fundeni,Ilfov,IF,4051,44.4636745,26.1734741,Fundeni,Fundeni
Domnesti,Ilfov,IF,7910,44.4051433,25.9292699,Domnesti,Domnesti
Teghes,Ilfov,IF,772,44.3794128,25.8732336,Teghes,Teghes
Dragomirestivale,Ilfov,IF,1579,44.4623837,25.9266471,Dragomirestivale,DragomirestiVale
Dragomirestideal,Ilfov,IF,2669,44.4620815,25.9380207,Dragomirestideal,DragomirestiDeal
Zurbaua,Ilfov,IF,995,44.4893401,25.9120123,Zurbaua,Zurbaua
Ganeasa,Ilfov,IF,861,44.5,26.266667,Ganeasa,Ganeasa
Cozieni,Ilfov,IF,832,44.4775167,26.3025365,Cozieni,Cozieni
Moaradomneasca,Ilfov,IF,662,44.4936215,26.2547948,Moaradomneasca,MoaraDomneasca
Piteasca,Ilfov,IF,1341,44.4910513,26.3276841,Piteasca,Piteasca
Sindrilita,Ilfov,IF,1267,44.5139396,26.3150385,Sindrilita,Sindrilita
Glina,Ilfov,IF,5494,44.3897642,26.2335009,Glina,Glina
Catelu,Ilfov,IF,2790,44.4044858,26.218726,Catelu,Catelu
Manolache,Ilfov,IF,308,44.4050135,26.2465853,Manolache,Manolache
Gradistea,Ilfov,IF,2096,44.6667,26.3,Gradistea,Gradistea
Sitaru,Ilfov,IF,1172,44.6679292,26.3278866,Sitaru,Sitaru
Gruiu,Ilfov,IF,1997,44.723724,26.2274634,Gruiu,Gruiu
Lipia,Ilfov,IF,2272,44.7097568,26.2589644,Lipia,Lipia
Silisteasnagovului,Ilfov,IF,2398,44.7417494,26.1743696,Silisteasnagovului,SilisteaSnagovului
Santufloresti,Ilfov,IF,745,44.7333487,26.2034869,Santufloresti,SantuFloresti
Jilava,Ilfov,IF,12223,44.3369129,26.088055,Jilava,Jilava
Magurele,Ilfov,IF,5760,44.361404,26.0381505,Magurele,Magurele
Alunisu,Ilfov,IF,1610,44.3419928,26.0522099,Alunisu,Alunisu
Dumitrana,Ilfov,IF,816,44.3250775,26.0007334,Dumitrana,Dumitrana
Pruni,Ilfov,IF,214,44.3301184,25.9901281,Pruni,Pruni
Varteju,Ilfov,IF,2641,44.3550094,25.9988803,Varteju,Varteju
Moaravlasiei,Ilfov,IF,4411,44.639707,26.2213601,Moaravlasiei,MoaraVlasiei
Caciulati,Ilfov,IF,1896,44.628932,26.1695428,Caciulati,Caciulati
Mogosoaia,Ilfov,IF,7625,44.528596,25.9989277,Mogosoaia,Mogosoaia
Nuci,Ilfov,IF,616,44.716667,26.3,Nuci,Nuci
Baltaneagra,Ilfov,IF,283,44.6974243,26.3038894,Baltaneagra,BaltaNeagra
Meriipetchii,Ilfov,IF,1010,44.7385545,26.3031687,Meriipetchii,MeriiPetchii
Micsunestimoara,Ilfov,IF,451,44.7014838,26.3276073,Micsunestimoara,MicsunestiMoara
Micsunestiimari,Ilfov,IF,738,44.6918335,26.3515578,Micsunestiimari,MicsunestiiMari
Pantelimon,Ilfov,IF,25596,44.450951,26.2352115,Pantelimon,Pantelimon
Peris,Ilfov,IF,5682,44.6779178,26.0352559,Peris,Peris
Balteni,Ilfov,IF,484,44.7162588,26.0354809,Balteni,Balteni
Burias,Ilfov,IF,1391,44.7341671,25.9823904,Burias,Burias
Petrachioaia,Ilfov,IF,2014,44.583333,26.316667,Petrachioaia,Petrachioaia
Maineasca,Ilfov,IF,397,44.5757952,26.3448575,Maineasca,Maineasca
Surlari,Ilfov,IF,620,44.5733114,26.314894,Surlari,Surlari
Vanatori,Ilfov,IF,467,44.5902752,26.2963142,Vanatori,Vanatori
Popestileordeni,Ilfov,IF,21895,44.3788851,26.1876693,Popestileordeni,PopestiLeordeni
Snagov,Ilfov,IF,1763,44.708889,26.171389,Snagov,Snagov
Ciofliceni,Ilfov,IF,1223,44.6818087,26.1155207,Ciofliceni,Ciofliceni
Tancabesti,Ilfov,IF,1385,44.6809524,26.0734967,Tancabesti,Tancabesti
Vladiceasca,Ilfov,IF,341,44.668317,26.084651,Vladiceasca,Vladiceasca
Ghermanesti,Ilfov,IF,2560,44.6885253,26.1436999,Ghermanesti,Ghermanesti
Stefanestiidejos,Ilfov,IF,2923,44.5284438,26.1961173,Stefanestiidejos,StefanestiiDeJos
Cretuleasca,Ilfov,IF,419,44.532758,26.1886175,Cretuleasca,Cretuleasca
Stefanestiidesus,Ilfov,IF,2433,44.5284438,26.1961173,Stefanestiidesus,StefanestiideSus
Tunari,Ilfov,IF,5007,44.546529,26.1375753,Tunari,Tunari
Dimieni,Ilfov,IF,329,44.5882922,26.1335493,Dimieni,Dimieni
Vidra,Ilfov,IF,3872,44.266667,26.15,Vidra,Vidra
Cretesti,Ilfov,IF,2708,44.2791542,26.1383191,Cretesti,Cretesti
Sintesti,Ilfov,IF,2936,44.3061878,26.1182026,Sintesti,Sintesti
Voluntari,Ilfov,IF,42944,44.5050832,26.1555435,Voluntari,Voluntari
Pipera(voluntari),Ilfov,IF,42944,44.4977877,26.1249325,Pipera(Voluntari),Pipera(Voluntari)
Bolintinvale,Giurgiu,GR,8334,44.4474639,25.7646681,Bolintinvale,BolintinVale
Crivina,Giurgiu,GR,872,44.4306651,25.7833209,Crivina,Crivina
Maluspart,Giurgiu,GR,3200,44.4433426,25.7103399,Maluspart,MaluSpart
Suseni,Giurgiu,GR,523,44.4504964,25.6959372,Suseni,Suseni
